x,y
962878.9848637917,1955931.2414769824
965682.5033134958,1957228.3249540185
962870.3074736227,1955964.5649778347
965682.7796087515,1957294.8928012406
962949.4002928787,1955886.5464128293
962745.7339817615,1955743.227939207
965585.1010034975,1957151.0659719512
963057.9264108059,1952513.2356600391
962859.4387833375,1955509.7249128805
963562.6265639369,1952821.6538146685
965884.0677542255,1956883.5512025715
962850.5617486925,1955498.669918537
965964.0017137588,1957005.2648497429
963104.1545421003,1952979.0109718628
964278.7242623584,1953018.2398423005
962788.4218468986,1955421.2852245201
963783.4270155248,1952831.7799934843
962805.6775119647,1955332.4488819514
963606.776951275,1952821.4596658782
963669.0255771513,1952921.0394222275
962878.287925528,1955775.9166797386
964475.820274848,1955735.6181928264
962814.006341903,1955221.4630189787
963627.4557143593,1955517.4078632602
962796.4011654241,1955232.6369949223
965851.4226141252,1957527.1860266658
964358.1930250956,1953017.8973891577
964438.0906419737,1953117.4068695449
962790.8169388007,1955953.8272686403
962737.0569161635,1955776.551572497
964199.3514356614,1953040.772206714
963802.1541410184,1953075.7834323242
964049.4368445718,1953085.800883573
963978.9915639942,1953130.4861909263
964251.9472869824,1952951.7867183248
964163.743981125,1952974.357542489
964173.4379821104,1953174.0216980411
962730.9115269068,1954411.9137968996
962580.4777769239,1954334.9286981553
964181.3078173265,1952952.0919840462
964058.7000695976,1953185.6137473579
964128.52046626,1952996.6996254523
962623.4679625392,1954079.5534278464
963916.506482597,1952975.4312375966
963828.4981600823,1953042.3839426523
964013.8765869801,1953030.4814264842
963783.8637197439,1952931.631160862
963754.7311558631,1956360.0571000238
963557.263634651,1953609.4079060208
963786.5811930083,1953552.9276563844
964476.2184895299,1953771.8355263136
964583.2590035937,1954026.5570735398
965876.9819488403,1957305.1838498055
964538.4496556364,1953871.421822604
964450.5889554303,1953971.6518233581
964306.6487202721,1953350.962922973
964689.4410938288,1954081.5773867683
964277.0647211164,1956723.9144635918
963812.7296298484,1953475.149743105
964573.3856169628,1953782.5139099057
963733.6540084251,1953564.2541355786
963467.6984461239,1953321.3378091094
963847.1266960835,1953264.198387704
963812.4871651616,1953419.676824832
964448.8737049974,1953572.2467047134
963865.2216912444,1953363.972529169
965913.1064700868,1957504.7418006505
964014.9856109417,1953285.6567187328
963900.0559481494,1953252.872653035
964121.2771186022,1953362.858952164
964364.7980427595,1956601.492702538
964130.250817019,1953396.1044376127
964218.1138935952,1953295.8711484785
964077.1777707125,1953374.1449655325
964033.174934699,1953407.6203782237
963998.7738002191,1953618.570978146
964050.8338348959,1953407.5436829056
963970.9342678566,1953308.037874424
963874.3416477517,1953430.5014936992
964760.6849842338,1954225.5060724432
963980.1982334222,1953407.8506897425
964024.1526489971,1953363.2804129752
963918.1986781955,1953363.7414854201
964785.6142618348,1955934.0004780504
963715.898189025,1953542.142336929
963918.4404315144,1953419.2143968104
964760.3543285059,1954147.8439252372
963936.4376027985,1953496.7995404124
963989.413738059,1953496.5689452006
963936.3409468264,1953474.6103727971
964352.4339478277,1955780.5282530652
964777.4450988465,1954014.6336794205
964086.2960147692,1953440.6741515328
964042.6308055443,1953551.8116085187
964510.8901768152,1955679.993555539
964201.4621906577,1953528.9336975028
964139.7050090962,1953540.2957637366
964201.7500373906,1953595.5012017896
964095.6065844358,1953551.581688938
964034.0425040394,1953607.322886411
955053.5300494691,1951809.4399574727
958100.807408597,1951893.3250906738
954014.9208899329,1950849.8789886544
953349.3517126744,1951863.238037574
955470.6345087506,1950542.3691924554
953273.5110686762,1950942.784449279
954334.5937055824,1951158.7696409659
957330.7295129145,1951553.313818699
953953.2799401673,1950883.5059401076
953122.1721634029,1950732.8349637701
957444.9120644451,1951430.6830876658
954094.4726831161,1950860.5329966121
954147.7116535932,1950904.61803878
956544.378487186,1951490.8307331672
957195.1057642349,1950943.795340103
952908.5562218362,1950445.5770926983
953035.4824516103,1951021.794209093
957441.5509374042,1950776.1033535872
952900.9840864867,1950667.5189689738
952875.3065454337,1950811.8991958934
952803.069040395,1950534.936462709
955891.3747759723,1951594.1347000273
953255.2211221351,1950831.9381486261
953210.4961149772,1950732.3359958858
953068.8637603117,1950677.6618614832
952944.9575097288,1950633.9844347537
953165.7700561789,1950632.7340890625
955652.2131387256,1951462.272236342
953299.8200736835,1950909.3513687728
953025.0158123547,1950733.3849137956
955307.8407738033,1951475.2170813347
952989.2458439133,1950655.9230681823
952795.7525467257,1950801.256851486
952804.8375194273,1950845.58492524
955106.4573266346,1951798.058133705
955098.046905168,1951875.7681510486
952742.8850789688,1950823.7479517998
954828.8189495067,1951089.49200898
955051.9053499964,1951509.885950504
952681.3122693625,1950868.4789845438
952989.4345795255,1950689.2068282065
953546.624453759,1950819.2051720507
957766.4693058294,1952139.1097596479
954208.6177939334,1950737.85754445
952839.3461538769,1950701.1542111007
952831.7131173192,1950912.0016658956
953165.2686584166,1950543.9774144478
957702.7277091043,1951762.2092137544
952760.1071424319,1950745.9851456878
953049.6281631506,1950400.3972778022
957827.4946755074,1951983.470671927
952795.4366824462,1950745.7839044726
958065.7637165862,1951948.9767107468
952694.9256260716,1950158.3247021888
957649.9102897896,1951795.7636109611
952937.69960722,1950911.3992869277
953141.1539377403,1950965.7214614942
954297.0027479775,1950748.4647154892
954146.2388471606,1950638.3480620112
953186.3798469416,1951154.0800167497
955453.0885944213,1950564.6532423792
954119.5571892086,1950605.210924467
954287.252730029,1950582.0947165512
953149.2336568602,1950832.5364640953
955720.8506380145,1951084.678642184
955056.7666142216,1950777.5955082418
955509.3591741892,1951174.5703822905
954482.4215252683,1950736.34963192
954280.1334908656,1950892.7916952143
954402.5029570034,1950659.1244239681
955074.852167849,1950855.1618039515
954384.7769885318,1950648.127025486
954357.8519990043,1950570.6108170429
954094.1654904521,1950805.0600782393
955243.6233153057,1951031.7672918176
955632.3525221124,1951051.8671976204
955040.0045963798,1950944.109989681
953655.4655030346,1951328.9630725724
953701.1117467643,1951594.9865904541
957494.2034201421,1950709.2640366543
955718.6577483934,1950674.1793190618
955719.1318709193,1950762.935907666
955549.7707558817,1950475.3751566564
955718.1836345674,1950585.4227424844
957307.9235245247,1950554.893345422
956021.1973202745,1951094.1744457588
955622.3919301777,1950841.117498277
954720.8351152504,1950723.9490678106
957370.0366119796,1950610.0479686575
954312.7721351222,1950404.4354217278
955367.0928733745,1950997.8168150473
954023.0762952755,1950727.7895819652
955844.9123013426,1951161.6810662537
957458.1337000147,1950565.2159519256
957113.837150887,1950600.2746360928
957318.6984629554,1950932.0631136007
957353.6845286149,1950865.3138520885
954348.7750729815,1950526.2811390809
956118.4665992063,1951115.8486767344
957042.9471994601,1950556.2622453
955974.4104002276,1953923.6264153451
957858.7287737683,1952915.2816494682
957971.774103054,1952570.7659106005
957468.6125603458,1952606.618646014
957671.767499941,1952616.6729728924
957496.8115036224,1952939.3206723742
957795.9576090878,1952726.988166201
957522.7894640929,1952839.3333685598
957470.8911586099,1953050.4026828995
957582.9527583513,1952517.2732899212
957504.4462374918,1952706.288752993
957258.000620574,1952862.8852531407
957374.390483135,1953172.942647318
958035.778991233,1953003.1418361543
957347.3870077807,1953073.227559313
957169.1834400637,1952763.489941515
956843.6800898926,1952998.1723968622
957189.0802695225,1953196.088233903
957114.1920728742,1952375.4531172356
957132.8866600742,1952575.064449097
956859.028822303,1952554.2962861743
956957.2587533572,1952764.5884241057
956929.3837763522,1952498.4557114907
956808.7652684633,1953076.0187492692
957160.0663594633,1952708.0625994494
957413.064044249,1952107.6341449798
957134.4942101513,1952885.7132729709
957336.3285900555,1952640.5835553396
957086.8957179599,1952220.265983906
956971.9804184502,1952198.6722099714
957466.163300279,1952129.5511419743
957229.5054896127,1952474.7110094642
957157.3124239256,1952175.5219993815
957026.5190453756,1952497.9512695288
955524.2519931891,1953948.2218423132
955553.0019507101,1954369.6756713025
955367.5436255328,1954359.5783606058
955674.9380118995,1954058.3633633547
955456.3062622589,1954447.8600258604
955676.8385267528,1954413.3916343176
952762.1813458721,1954207.6067965266
955455.8884426599,1954370.1975634277
956019.6748868328,1954134.1897695037
955658.1121390975,1954213.7827486612
956213.0272815864,1953966.7409624853
956266.8211832704,1954121.7857953263
956082.9473181161,1954411.227544753
956232.3858515036,1954288.3918467215
955473.0084702857,1954270.2508662743
956113.3809679114,1953490.1863058936
956167.0622124238,1953623.0411815327
956072.9416599192,1954189.3817264237
956018.437403439,1953901.2025797789
955868.9357655084,1954012.947397095
955849.6809526996,1953713.4866126345
955921.672798937,1953968.2867344688
955835.5731300341,1954379.2585417214
955896.3679036718,1954190.3203614035
956330.8411653121,1952867.7212538302
956480.5447096797,1952789.2690126556
956268.9719501473,1952856.9527308403
956436.8022651557,1952867.1633236567
956254.2416516546,1953411.7765799083
956438.0859310571,1953111.2447126782
956385.5743110761,1953200.2804077351
956217.7506484884,1953190.0709053553
956755.1489139168,1952954.2544991819
955834.6262636716,1954201.744403924
956129.1005655358,1953123.970437873
956218.1025274988,1953256.6385871454
956101.1999694819,1952857.840137325
956560.074454469,1952799.9464835543
956457.9037589892,1953521.6525738784
956569.7771669579,1952966.3192746034
956564.0892509574,1953565.4746614124
956499.5451505936,1953044.352212964
956346.3966934009,1952468.222442751
955904.9602591743,1954145.8948155919
956231.5999708483,1952468.8281295425
956222.2418289583,1952369.023386996
956391.0748936805,1952567.8413165868
956530.7897411442,1952267.5446242674
956701.2410554918,1952777.0175835553
956631.4708821307,1952943.8062103067
956584.8787783709,1952478.0641520247
956657.0901306706,1952777.2484784732
956727.673653815,1952765.7845558948
956735.4608748049,1952566.0356034094
956708.5058330765,1952477.4172021258
956797.9101972671,1952687.7536218944
955834.0936665974,1954101.8927225617
955084.9557252085,1952719.053743262
955136.8558626153,1952519.063704971
955497.1175178199,1952184.2729978266
955833.9161366796,1954068.6088321581
954763.977022438,1952154.9583564848
955587.7208509201,1954258.539822076
955824.2130249384,1952249.0920642824
955584.2363724114,1951961.9072106665
954923.3551027549,1952231.7542955426
949638.586631595,1955967.9425653722
949814.1147908819,1955800.4499147446
949664.7973293122,1955923.4027092978
949867.7489827583,1955911.075885469
949947.5937967069,1955977.1632557553
950009.7837858042,1956043.357996003
949771.528162391,1956055.895567511
950992.7750736283,1956581.1381266462
949178.1903694373,1957180.12537363
950271.8542460984,1955586.8806133277
950726.7341565709,1956371.9112651881
950087.6859977483,1955787.700663967
949721.7355951369,1956577.668037306
949835.8037769968,1956466.0246709422
949827.5155746038,1956554.8357999043
949243.214977135,1956269.9258013673
949442.6863884365,1957134.12440467
949126.7378126216,1957424.5346505516
949267.4665929968,1957346.0045096616
949328.3610165087,1957201.3945752804
949185.312549957,1956902.7032858147
949229.850346846,1956969.0006798145
949221.6373419431,1957068.9072704415
950236.5452105647,1955587.092804039
949046.8316767161,1957347.3603970385
949134.539963712,1957258.0595772073
948923.0706294422,1957314.838095879
949036.8445057898,1957158.8045202827
949019.2616714679,1957170.0079804931
949160.062013501,1957102.5707952592
948984.0277350268,1957181.3202960638
948903.3642997806,1956982.105524053
949089.3202259869,1957080.8155002813
949018.0311790317,1956970.303080218
948636.5246870806,1956650.903371898
948948.6569790309,1957170.4433247352
948787.5990709361,1956816.394115316
948886.7407925604,1957148.635306677
948831.7975040922,1956827.2158301196
949660.8970172734,1956733.3695316783
949589.0045206096,1956522.9999554676
948893.30508897,1956782.455174863
949562.6609535135,1956545.3507059808
949518.6650839188,1956567.809207223
949643.244928368,1956733.4769346905
949491.7124122729,1956490.307840862
949305.1366939102,1956291.7365119874
949149.3272696746,1956791.9730415794
949722.2074573791,1956655.3309726992
949042.7322096624,1956681.6774615005
949208.521617517,1956369.9947302453
949730.8313920755,1956621.9932353147
949430.1994647711,1956535.0639783717
949166.3658484401,1956692.0121924528
949724.440490534,1958474.9188714505
947153.1168757027,1953797.695163421
948353.5734196712,1957984.0832699453
949794.4278343774,1958374.6374064344
946939.2262967237,1953488.3989993827
950248.5735577556,1956119.5848246964
949477.9732063726,1958576.2772256476
950009.0678929201,1957385.8706366306
950124.4662661168,1957496.125330304
950149.4043499407,1957240.7872979601
950017.2899786867,1957285.9648725092
950087.1573318891,1957163.4967786002
949847.8578667266,1956998.5170764532
950077.6623205161,1957052.6029119347
949935.9812031871,1956975.793167639
949759.4655319327,1956976.863082905
949971.8880884838,1957075.432031293
948452.4196877723,1956851.7607348005
949777.2517860639,1956998.9453442253
948345.164398644,1958050.7067926875
949620.8202130611,1957399.3209050202
949917.7924106141,1956887.1423154892
949908.3620587559,1956787.343370499
948802.9477389813,1957870.338138736
949996.6218988382,1956786.8095495752
949951.4183349927,1956609.561059862
949479.6148407648,1957400.1819824625
949434.8778776044,1957300.5990909573
949566.5521694336,1955735.3839735617
949401.8154298348,1957666.9407336274
949347.7782242156,1957489.7491981452
949532.0554839486,1955868.735483054
949418.8550067553,1957566.9802823984
949550.894097649,1957510.698345084
949453.7489143513,1957500.1961885735
