x,y
967576.4933491327,1947585.691252609
971382.8233346634,1951572.1805851911
971411.063776808,1951515.1674448778
967256.9130259259,1948550.0735736885
967018.6424490102,1949461.0029458348
967087.5491428759,1949461.838506362
967001.6553788161,1949410.035034841
966949.4083675708,1949378.068634485
966863.357635067,1949287.4358315018
966866.1984786101,1949335.1315939932
966912.6232702034,1949236.2035147399
967016.1472696437,1949277.9506942465
966803.0300033174,1949223.3280835522
966885.1274783785,1949208.576621815
966768.0352453996,1949088.1132399386
966782.4453250745,1949156.8424800145
966704.1272474859,1949012.9258840233
966855.4078104262,1949066.6835510014
966876.6715878114,1949082.1311029391
966800.2057241045,1948959.2861069518
966890.553457639,1949018.8360038707
966906.3086754145,1948982.1606713363
966948.6992620678,1948978.6631506267
966972.7857116777,1949037.3689150293
967029.5674051215,1948876.2701612029
967094.2203606378,1948917.0635532693
967287.4112564035,1949293.5177030654
967317.1574672413,1949220.1755280925
967346.0251864002,1949147.9464010957
967375.675050096,1949274.3088876305
967260.0772628124,1949082.8268752054
967223.8489772165,1949080.751108929
967326.3455859055,1949085.8938040554
967377.0357320419,1949171.1231014319
967373.7523787096,1949010.2633418387
967540.6865223894,1949001.8417247299
967540.6865223894,1949001.8417247299
967605.370643384,1949051.5146746065
967514.8842087435,1949180.5669192462
967763.3276944753,1949006.5202303673
967743.7933683699,1948981.0785015184
967559.7264733242,1948900.8057598132
967616.6035351293,1948987.121737689
967448.3935329012,1948895.6948572327
967341.4431613589,1948657.5802599047
967271.1746632985,1948761.037728605
967180.5897618682,1948641.573472245
967226.1087996928,1948981.9996212698
967088.188696681,1948732.9160208453
966899.9893802393,1948727.008480127
967115.7129207592,1948990.203084599
967866.3354794732,1948231.713513778
967864.3343291179,1948399.2504481757
967751.8999814681,1948339.775897801
967523.4563751627,1948437.191054081
968028.265244338,1948983.3048099543
967596.0137529639,1948465.7532553095
968106.1720510595,1949026.2738442726
967704.1019546877,1948770.4345177491
967886.8484906261,1948737.5500868422
967546.1337962786,1948587.9895688202
968069.3326434111,1948865.5431682852
967997.1670065647,1948708.277375818
968241.9746152649,1948962.5128974156
967439.1006460206,1948554.0158076494
967319.9517773526,1948584.4401895378
967282.0069655947,1948595.6845072017
966897.8061074438,1948622.7273233877
966848.3277689392,1948842.5994692408
966884.7078832856,1948882.39488366
966855.7951615389,1948721.6377097515
966749.1701785916,1948789.7421561603
966748.5937867757,1948866.2977061092
966651.2473218098,1948824.5289655107
966540.9528188885,1948858.2573939369
966759.4974012978,1948941.6977583442
966696.4627311798,1948864.2880289832
967820.5935062303,1949421.238141015
966940.1116739666,1949483.5051672768
967193.0914710165,1947558.6858240112
967762.4387345004,1947414.441812704
969212.6481703105,1947477.7179106174
969345.5308648122,1947810.0641041894
969497.9970968313,1947944.856165212
969426.0514993975,1948081.5849951645
969587.5333869939,1948508.1340865884
970109.2022454641,1950093.8787380813
970597.4757385951,1949790.357301898
971261.4321050724,1950209.623663321
971197.2848532271,1950813.394925869
971271.9946868643,1950453.6690412406
970894.6380600848,1950898.772281402
970878.4735032074,1951074.124622927
970574.9796904711,1951663.2145264163
970707.3785292862,1950893.8851302434
970550.7356137491,1951054.203675137
